"страна","рождаем","смертн","деск_см","длит_муж","длит_жен","доход","регион"
"Albania",0.352941176470588,0.153508771929825,0.148503670242801,0.833333333333333,0.844827586206897,0.01530131826742,1
"Bulgaria",0.0658823529411765,0.425438596491228,0.0559006211180124,0.798941798941799,0.82512315270936,0.0638535781544256,1
"Czechoslovakia",0.0870588235294118,0.416666666666667,0.0383963862224732,0.891534391534391,0.899014778325123,0.085334274952919,1
"Hungary",0.0447058823529412,0.491228070175439,0.0581592320722756,0.722222222222222,0.802955665024631,0.0794491525423729,1
"Poland",0.108235294117647,0.350877192982456,0.0649350649350649,0.76984126984127,0.849753694581281,0.0473752354048964,1
"Romania",0.0917647058823529,0.37280701754386,0.126482213438735,0.751322751322751,0.768472906403941,0.0459039548022599,1
"USSR",0.188235294117647,0.342105263157895,0.10446075663467,0.701058201058201,0.807881773399015,0.0636181732580038,1
"Byelorussian_SSR",0.129411764705882,0.320175438596491,0.0485601355166573,0.748677248677249,0.854679802955665,0.0529661016949153,1
"Ukrainian_SSR",0.0870588235294118,0.412280701754386,0.0479954827780915,0.748677248677249,0.827586206896552,0.0364877589453861,1
"Argentina",0.258823529411765,0.271929824561404,0.119706380575946,0.724867724867725,0.775862068965517,0.0673846516007533,2
"Bolivia",0.868235294117647,0.692982456140351,0.601355166572558,0.341269841269841,0.349753694581281,0.0161840866290019,2
"Brazil",0.444705882352941,0.25,0.330321852060983,0.64021164021164,0.650246305418719,0.0765065913370998,2
"Chile",0.322352941176471,0.157894736842105,0.0711462450592885,0.793650793650793,0.834975369458128,0.0547316384180791,2
"Columbia",0.416470588235294,0.171052631578947,0.200451722190853,0.669312169312169,0.689655172413793,0.0347222222222222,2
"Ecuador",0.545882352941176,0.228070175438596,0.330321852060983,0.669312169312169,0.650246305418719,0.0264830508474576,2
"Guyana",0.437647058823529,0.223684210526316,0.290796160361378,0.58994708994709,0.613300492610837,0.00735640301318267,2
"Paraguay",0.590588235294118,0.192982456140351,0.211744776962168,0.695767195767196,0.672413793103448,0.0303083804143126,2
"Peru",0.545882352941176,0.267543859649123,0.595143986448334,0.494708994708995,0.623152709359606,0.0317796610169492,2
"Uruguay",0.195294117647059,0.324561403508772,0.0982495765104461,0.801587301587302,0.830049261083744,0.0729755178907721,2
"Venezuela",0.418823529411765,0.0964912280701754,0.106154714850367,0.756613756613757,0.778325123152709,0.0729755178907721,2
"Mexico",0.454117647058824,0.921052631578947,0.217391304347826,0.634920634920635,0.610837438423645,0.070915725047081,2
"Belgium",0.0541176470588235,0.368421052631579,0.0191981931112366,0.843915343915344,0.876847290640394,0.454919962335217,3
"Finland",0.0823529411764706,0.346491228070175,0.00734048560135517,0.862433862433862,0.923645320197044,0.763888888888889,3
"Denmark",0.0635294117647059,0.425438596491228,0.0169395821569735,0.891534391534391,0.899014778325123,0.647363465160075,3
"France",0.0917647058823529,0.315789473684211,0.0163749294184077,0.904761904761905,0.967980295566503,0.571151129943503,3
"Germany",0.04,0.394736842105263,0.0163749294184077,0.891534391534391,0.916256157635468,0.654425612052731,3
"Greece",0.00941176470588236,0.307017543859649,0.0367024280067758,0.722222222222222,0.807881773399015,0.173905367231638,3
"Ireland",0.127058823529412,0.302631578947368,0.0169395821569735,0.87037037037037,0.874384236453202,0.27866054613936,3
"Italy",0,0.302631578947368,0.0242800677583286,0.896825396825397,0.921182266009852,0.492879001883239,3
"Netherlands",0.0823529411764706,0.280701754385965,0.0146809712027103,0.931216931216931,0.95320197044335,0.507297551789077,3
"Norway",0.108235294117647,0.37280701754386,0.0186335403726708,0.76984126984127,0.849753694581281,0.677966101694915,3
"Portugal",0.051764705882353,0.320175438596491,0.0485601355166573,0.751322751322751,0.768472906403941,0.221280602636535,3
"Spain",0.0235294117647059,0.263157894736842,0.0203274985883682,0.91005291005291,0.921182266009852,0.321916195856874,3
"Sweden",0.112941176470588,0.390350877192982,0.0062111801242236,0.955026455026455,0.955665024630542,0.69385593220339,3
"Switzerland",0.0658823529411765,0.320175438596491,0.0146809712027103,0.947089947089947,0.955665024630542,1,3
"U.K.",0.0917647058823529,0.407894736842105,0.0220214568040655,0.902116402116402,0.903940886699508,0.471398305084746,3
"Austria",0.122352941176471,0.228070175438596,0.0197628458498024,0.931216931216931,0.945812807881773,0.497881355932203,3
"Japan",0.0047058823529412,0.197368421052632,0,1,1,0.745939265536723,3
"Canada",0.112941176470588,0.223684210526316,0.0152456239412761,0.923280423280423,0.950738916256158,0.599988229755179,3
"U.S.A.",0.164705882352941,0.258771929824561,0.025974025974026,0.883597883597883,0.913793103448276,0.638830037664783,3
